data,acoes_em_circulacao,empresa_chave,empresa,ticker,setor
2024-08-23,604177024,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-08-27,594836992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-08-29,594836992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-08-30,599907968,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-08-30,594836992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-08-31,594836992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-09-03,594836992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-09-03,609270976,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-09-04,594836992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-09-06,594836992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-09-07,594836992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-09-07,603347008,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-09-12,594766016,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-09-21,594766016,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-09-21,612024000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-10-11,598160000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-10-11,594766016,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-10-12,592688000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-10-16,595003008,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-10-16,592688000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-10-24,592688000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-10-24,596409024,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-10-25,593516032,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-10-26,592688000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-10-30,594108992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-10-30,592688000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-11-08,588128000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-11-13,588128000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-11-13,588520000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-11-26,588128000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-11-26,589116032,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-11-30,588128000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-11-30,589627008,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-12-12,585881024,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-12-13,600190016,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-12-14,608577024,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-12-14,585881024,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-12-31,592014016,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-12-31,585881024,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-01-04,591260032,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-01-04,585881024,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-01-11,585889024,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-01-14,585889024,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-01-18,585889024,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
